id,lead,sample,feature
1,1,149,N
4,1,164,)
11,1,317,N
14,1,335,)
21,1,481,N
24,1,499,)
31,1,642,N
34,1,659,)
41,1,801,N
44,1,816,)
51,1,954,N
54,1,971,)
61,1,1106,N
64,1,1123,)
71,1,1257,N
74,1,1275,)
81,1,1410,N
84,1,1427,)
91,1,1569,N
94,1,1584,)
101,1,1730,N
104,1,1747,)
111,1,1897,N
114,1,1912,)
121,1,2065,N
124,1,2080,)
131,1,2229,N
134,1,2247,)
141,1,2393,N
144,1,2408,)
151,1,2550,N
154,1,2567,)
161,1,2706,N
164,1,2723,)
171,1,2862,N
174,1,2879,)
181,1,3014,N
184,1,3031,)
191,1,3166,N
194,1,3183,)
201,1,3318,N
204,1,3335,)
211,1,3473,N
214,1,3488,)
221,1,3626,N
224,1,3643,)
231,1,3786,N
234,1,3803,)
241,1,3946,N
244,1,3963,)
251,1,4114,N
254,1,4131,)
261,1,4277,N
264,1,4292,)
271,1,4438,N
274,1,4456,)
281,1,4605,N
284,1,4620,)
291,1,4769,N
294,1,4784,)
301,1,4934,N
304,1,4951,)
311,1,5098,N
314,1,5116,)
321,1,5262,N
324,1,5279,)
331,1,5426,N
334,1,5443,)
341,1,5590,N
344,1,5607,)
351,1,5754,N
354,1,5771,)
361,1,5917,N
364,1,5935,)
371,1,6082,N
374,1,6099,)
381,1,6246,N
384,1,6263,)
391,1,6409,N
394,1,6424,)
401,1,6566,N
404,1,6583,)
411,1,6722,N
414,1,6739,)
421,1,6877,N
424,1,6892,)
431,1,7030,N
434,1,7047,)
441,1,7182,N
444,1,7199,)
451,1,7334,N
454,1,7351,)
461,1,7486,N
464,1,7503,)
471,1,7637,N
474,1,7652,)
481,1,7786,N
484,1,7803,)
491,1,7938,N
494,1,7955,)
501,1,8090,N
504,1,8107,)
511,1,8241,N
514,1,8256,)
521,1,8390,N
524,1,8407,)
531,1,8538,N
534,1,8555,)
541,1,8686,N
544,1,8703,)
551,1,8834,N
554,1,8851,)
561,1,8981,N
564,1,8996,)
571,1,9129,N
574,1,9144,)
581,1,9274,N
584,1,9291,)
591,1,9421,N
594,1,9436,)
601,1,9569,N
604,1,9584,)
611,1,9717,N
614,1,9732,)
621,1,9862,N
624,1,9880,)
631,1,10013,N
634,1,10028,)
641,1,10162,N
644,1,10179,)
651,1,10317,N
