id,lead,sample,feature
3,1,158,R
13,1,327,R
23,1,490,R
33,1,652,R
43,1,810,R
53,1,965,R
63,1,1117,R
73,1,1267,R
83,1,1420,R
93,1,1578,R
103,1,1740,R
113,1,1907,R
123,1,2074,R
133,1,2239,R
143,1,2401,R
153,1,2560,R
163,1,2715,R
173,1,2871,R
183,1,3023,R
193,1,3176,R
203,1,3328,R
213,1,3482,R
223,1,3637,R
233,1,3795,R
243,1,3957,R
253,1,4123,R
263,1,4287,R
273,1,4449,R
283,1,4613,R
293,1,4779,R
303,1,4944,R
313,1,5109,R
323,1,5273,R
333,1,5436,R
343,1,5600,R
353,1,5764,R
363,1,5927,R
373,1,6092,R
383,1,6256,R
393,1,6419,R
403,1,6576,R
413,1,6731,R
423,1,6886,R
433,1,7039,R
443,1,7191,R
453,1,7343,R
463,1,7495,R
473,1,7646,R
483,1,7795,R
493,1,7948,R
503,1,8099,R
513,1,8250,R
523,1,8400,R
533,1,8548,R
543,1,8697,R
553,1,8844,R
563,1,8991,R
573,1,9137,R
583,1,9283,R
593,1,9431,R
603,1,9578,R
613,1,9726,R
623,1,9873,R
633,1,10021,R
643,1,10172,R
653,1,10325,R
663,1,10483,R
673,1,10645,R
683,1,10810,R
693,1,10972,R
703,1,11130,R
713,1,11288,R
723,1,11447,R
733,1,11607,R
743,1,11770,R
753,1,11939,R
763,1,12104,R
773,1,12264,R
783,1,12426,R
793,1,12587,R
803,1,12753,R
813,1,12923,R
823,1,13091,R
833,1,13261,R
843,1,13431,R
853,1,13597,R
863,1,13761,R
873,1,13924,R
883,1,14088,R
893,1,14254,R
903,1,14422,R
913,1,14595,R
923,1,14766,R
933,1,14936,R
943,1,15108,R
952,1,15284,R
963,1,15461,R
973,1,15632,R
983,1,15795,R
993,1,15958,R
1003,1,16122,R
1013,1,16288,R
1023,1,16454,R
1033,1,16620,R
1043,1,16787,R
1053,1,16955,R
1063,1,17126,R
1073,1,17291,R
1083,1,17450,R
1093,1,17609,R
1103,1,17770,R
1113,1,17932,R
1123,1,18095,R
1133,1,18256,R
1143,1,18419,R
1153,1,18585,R
1163,1,18750,R
1173,1,18912,R
1183,1,19078,R
1193,1,19242,R
1203,1,19410,R
1213,1,19576,R
1223,1,19734,R
1233,1,19891,R
1243,1,20048,R
1253,1,20206,R
1263,1,20370,R
1273,1,20538,R
1283,1,20707,R
1293,1,20878,R
1303,1,21050,R
1313,1,21219,R
1323,1,21389,R
1333,1,21556,R
1343,1,21721,R
1353,1,21887,R
1363,1,22057,R
1373,1,22228,R
1383,1,22398,R
1393,1,22566,R
1403,1,22737,R
1413,1,22911,R
1423,1,23079,R
1433,1,23240,R
1443,1,23398,R
1453,1,23556,R
1463,1,23716,R
1473,1,23879,R
1483,1,24046,R
1493,1,24215,R
1503,1,24386,R
1513,1,24559,R
1523,1,24733,R
1533,1,24900,R
1543,1,25065,R
1553,1,25229,R
1563,1,25391,R
1573,1,25550,R
1583,1,25707,R
1593,1,25865,R
1603,1,26023,R
1613,1,26184,R
1623,1,26346,R
1633,1,26508,R
1643,1,26671,R
1653,1,26836,R
1663,1,27001,R
1673,1,27168,R
1683,1,27331,R
1693,1,27493,R
1703,1,27654,R
1713,1,27813,R
1723,1,27974,R
1733,1,28130,R
1743,1,28289,R
1753,1,28453,R
1763,1,28619,R
1773,1,28786,R
1783,1,28950,R
1793,1,29112,R
1803,1,29272,R
1813,1,29432,R
1823,1,29596,R
1833,1,29759,R
1843,1,29914,R
1853,1,30063,R
1863,1,30215,R
1873,1,30364,R
1883,1,30515,R
1893,1,30664,R
1903,1,30806,R
1913,1,30948,R
1923,1,31096,R
1933,1,31258,R
1943,1,31417,R
1953,1,31576,R
1963,1,31736,R
1973,1,31899,R
1983,1,32065,R
1993,1,32230,R
2003,1,32393,R
2013,1,32556,R
2023,1,32718,R
2033,1,32881,R
2043,1,33040,R
2053,1,33198,R
2063,1,33358,R
2073,1,33518,R
2083,1,33679,R
2093,1,33839,R
2103,1,34001,R
2113,1,34163,R
2123,1,34323,R
2133,1,34477,R
2143,1,34633,R
2153,1,34780,R
2163,1,34929,R
2173,1,35073,R
2183,1,35219,R
2193,1,35367,R
2203,1,35526,R
2213,1,35685,R
2223,1,35845,R
2233,1,36011,R
2243,1,36167,R
2253,1,36319,R
2263,1,36464,R
2273,1,36605,R
2283,1,36747,R
2293,1,36889,R
2303,1,37029,R
2313,1,37173,R
2323,1,37314,R
2333,1,37457,R
2343,1,37603,R
2353,1,37752,R
2363,1,37902,R
2373,1,38053,R
2383,1,38206,R
2393,1,38361,R
2403,1,38518,R
2413,1,38676,R
2423,1,38831,R
2433,1,38980,R
2443,1,39123,R
2453,1,39264,R
2463,1,39403,R
2473,1,39544,R
2483,1,39687,R
2493,1,39832,R
2503,1,39982,R
2513,1,40130,R
2523,1,40283,R
2533,1,40437,R
2543,1,40592,R
2553,1,40741,R
2563,1,40890,R
2573,1,41039,R
2583,1,41188,R
2593,1,41336,R
2603,1,41487,R
2613,1,41636,R
2623,1,41784,R
2633,1,41931,R
2643,1,42077,R
2653,1,42223,R
2663,1,42371,R
2673,1,42523,R
2683,1,42677,R
2693,1,42831,R
2703,1,42982,R
2713,1,43127,R
2723,1,43270,R
2733,1,43413,R
2743,1,43555,R
2753,1,43705,R
2763,1,43866,R
2773,1,44029,R
2783,1,44192,R
2793,1,44354,R
2803,1,44509,R
2813,1,44659,R
2823,1,44809,R
2833,1,44958,R
2843,1,45113,R
2853,1,45265,R
2863,1,45417,R
2873,1,45565,R
2883,1,45712,R
2893,1,45859,R
2903,1,46004,R
2913,1,46144,R
2923,1,46284,R
2933,1,46421,R
2943,1,46557,R
2953,1,46691,R
2963,1,46824,R
2973,1,46961,R
2983,1,47098,R
2993,1,47233,R
3003,1,47376,R
3013,1,47512,R
3023,1,47649,R
3033,1,47785,R
3043,1,47917,R
3053,1,48048,R
3063,1,48176,R
3073,1,48301,R
3083,1,48423,R
3093,1,48547,R
3103,1,48667,R
3113,1,48787,R
3123,1,48904,R
3133,1,49020,R
3143,1,49134,R
3153,1,49247,R
3163,1,49359,R
3173,1,49471,R
3183,1,49582,R
3193,1,49692,R
3203,1,49803,R
3213,1,49915,R
3223,1,50032,R
3233,1,50155,R
3243,1,50289,R
3253,1,50434,R
3263,1,50596,R
3273,1,50761,R
3283,1,50940,R
3293,1,51123,R
3303,1,51302,R
3313,1,51468,R
3323,1,51629,R
3333,1,51787,R
3343,1,51943,R
3353,1,52095,R
3363,1,52238,R
3373,1,52384,R
3383,1,52532,R
3393,1,52678,R
3403,1,52821,R
3413,1,52956,R
3423,1,53088,R
3433,1,53223,R
3443,1,53358,R
3453,1,53495,R
3463,1,53631,R
3473,1,53769,R
3483,1,53911,R
3493,1,54061,R
3503,1,54212,R
3513,1,54364,R
3523,1,54512,R
3533,1,54658,R
3543,1,54801,R
3553,1,54945,R
3563,1,55093,R
3573,1,55243,R
3583,1,55402,R
3593,1,55560,R
3603,1,55715,R
3613,1,55871,R
3623,1,56031,R
3633,1,56193,R
3643,1,56348,R
3653,1,56497,R
3663,1,56644,R
3673,1,56789,R
3683,1,56932,R
3693,1,57071,R
3703,1,57213,R
3713,1,57354,R
3723,1,57496,R
3733,1,57641,R
3743,1,57787,R
3753,1,57937,R
3763,1,58092,R
3773,1,58249,R
3783,1,58407,R
3793,1,58564,R
3803,1,58714,R
3813,1,58858,R
3823,1,59005,R
3833,1,59165,R
3843,1,59337,R
3853,1,59505,R
3863,1,59675,R
3873,1,59837,R
3883,1,59986,R
3893,1,60126,R
3903,1,60259,R
3913,1,60388,R
3923,1,60516,R
3933,1,60648,R
3943,1,60811,R
3953,1,61003,R
3963,1,61191,R
3973,1,61380,R
3983,1,61562,R
3993,1,61737,R
4003,1,61900,R
4013,1,62054,R
4023,1,62200,R
4033,1,62340,R
4043,1,62478,R
4053,1,62614,R
4063,1,62751,R
4073,1,62888,R
4083,1,63027,R
4093,1,63173,R
4103,1,63321,R
4113,1,63473,R
4123,1,63627,R
4133,1,63780,R
4143,1,63932,R
4153,1,64080,R
4163,1,64223,R
4173,1,64364,R
4183,1,64504,R
4193,1,64643,R
4203,1,64783,R
4213,1,64922,R
4223,1,65060,R
4233,1,65199,R
4243,1,65338,R
4253,1,65480,R
4263,1,65626,R
4273,1,65772,R
4283,1,65923,R
4293,1,66074,R
4303,1,66223,R
4313,1,66371,R
4323,1,66517,R
4333,1,66662,R
4343,1,66805,R
4353,1,66945,R
4363,1,67079,R
4373,1,67210,R
4383,1,67343,R
4393,1,67482,R
4403,1,67624,R
4413,1,67770,R
4423,1,67919,R
4433,1,68071,R
4443,1,68224,R
4453,1,68379,R
4463,1,68531,R
4473,1,68683,R
4483,1,68833,R
4493,1,68981,R
4503,1,69127,R
4513,1,69270,R
4523,1,69417,R
4533,1,69561,R
4543,1,69704,R
4553,1,69847,R
4563,1,69999,R
4573,1,70155,R
4583,1,70309,R
4593,1,70459,R
4603,1,70604,R
4613,1,70744,R
4623,1,70882,R
4633,1,71016,R
4643,1,71148,R
4653,1,71278,R
4663,1,71415,R
4673,1,71561,R
4683,1,71716,R
4693,1,71877,R
4703,1,72051,R
4713,1,72232,R
4723,1,72411,R
4733,1,72586,R
4743,1,72753,R
4753,1,72916,R
4763,1,73073,R
4773,1,73220,R
4783,1,73361,R
4793,1,73500,R
4803,1,73643,R
4813,1,73785,R
4823,1,73932,R
4833,1,74076,R
4843,1,74223,R
4853,1,74371,R
4863,1,74525,R
4873,1,74679,R
4883,1,74833,R
4893,1,74987,R
4903,1,75135,R
4913,1,75284,R
4923,1,75432,R
4933,1,75580,R
4943,1,75728,R
4953,1,75874,R
4963,1,76016,R
4973,1,76156,R
4983,1,76297,R
4993,1,76435,R
5003,1,76574,R
5013,1,76715,R
5023,1,76860,R
5033,1,77009,R
5043,1,77164,R
5053,1,77325,R
5063,1,77483,R
5073,1,77640,R
5083,1,77793,R
5093,1,77939,R
5103,1,78084,R
5113,1,78226,R
5123,1,78364,R
5133,1,78501,R
5143,1,78638,R
5153,1,78775,R
5163,1,78910,R
5173,1,79045,R
5183,1,79180,R
5193,1,79313,R
5203,1,79447,R
5213,1,79579,R
5223,1,79709,R
5230,1,79840,R
5239,1,79975,R
5250,1,80122,R
5260,1,80284,R
5270,1,80446,R
5280,1,80611,R
5290,1,80773,R
5300,1,80932,R
5310,1,81085,R
5320,1,81233,R
5330,1,81376,R
5340,1,81517,R
5350,1,81656,R
5360,1,81796,R
5370,1,81939,R
5380,1,82082,R
5390,1,82220,R
5400,1,82353,R
5410,1,82480,R
5420,1,82606,R
5430,1,82730,R
5440,1,82856,R
5450,1,82987,R
5460,1,83128,R
5470,1,83290,R
5480,1,83462,R
5489,1,83644,R
5500,1,83835,R
5509,1,84027,R
5520,1,84208,R
5530,1,84376,R
5540,1,84538,R
5550,1,84692,R
5560,1,84841,R
5570,1,84986,R
5580,1,85126,R
5590,1,85263,R
5600,1,85400,R
5610,1,85538,R
5620,1,85676,R
5630,1,85817,R
5640,1,85960,R
5650,1,86106,R
5660,1,86252,R
5670,1,86394,R
5680,1,86534,R
5690,1,86672,R
5700,1,86813,R
5710,1,86954,R
5720,1,87096,R
5730,1,87237,R
5740,1,87375,R
5750,1,87511,R
5760,1,87646,R
5770,1,87778,R
5780,1,87910,R
5790,1,88050,R
5800,1,88194,R
5810,1,88344,R
5820,1,88490,R
5830,1,88637,R
5840,1,88785,R
5850,1,88929,R
5860,1,89072,R
5870,1,89209,R
5880,1,89345,R
5890,1,89479,R
5900,1,89616,R
5910,1,89750,R
5920,1,89880,R
5930,1,90013,R
5940,1,90145,R
5950,1,90277,R
5960,1,90407,R
5970,1,90534,R
5980,1,90659,R
5990,1,90784,R
6000,1,90911,R
6010,1,91043,R
6020,1,91177,R
6030,1,91317,R
6040,1,91457,R
6050,1,91602,R
6060,1,91745,R
6070,1,91884,R
6080,1,92021,R
6090,1,92158,R
6100,1,92297,R
6110,1,92435,R
6120,1,92577,R
6130,1,92719,R
6140,1,92856,R
6150,1,92989,R
6160,1,93118,R
6170,1,93244,R
6180,1,93375,R
6190,1,93505,R
6200,1,93642,R
6210,1,93777,R
6220,1,93910,R
6230,1,94040,R
6240,1,94165,R
6250,1,94288,R
6260,1,94409,R
6270,1,94528,R
6280,1,94649,R
6290,1,94771,R
6300,1,94901,R
6310,1,95037,R
6320,1,95178,R
6330,1,95318,R
6340,1,95457,R
6350,1,95597,R
6360,1,95738,R
6370,1,95879,R
6380,1,96018,R
6390,1,96155,R
6400,1,96287,R
6410,1,96414,R
6420,1,96538,R
6430,1,96668,R
6440,1,96809,R
6450,1,96951,R
6460,1,97092,R
