time, interval
0:0:1.61500000953674316406 ,46
0:0:2.43000006675720214844 ,45
0:0:3.24000000953674316406 ,45
0:0:4.03000020980834960938 ,45
0:0:4.80000019073486328125 ,45
0:0:5.56500005722045898438 ,45
0:0:6.31500005722045898438 ,45
0:0:7.07999992370605468750 ,49
0:0:7.86999988555908203125 ,49
0:0:8.68000030517578125000 ,49
0:0:9.51000022888183593750 ,49
0:0:10.35000038146972656250 ,46
0:0:11.17500019073486328125 ,46
0:0:11.98499965667724609375 ,45
0:0:12.77999973297119140625 ,45
0:0:13.56000041961669921875 ,45
0:0:14.33500003814697265625 ,45
0:0:15.09500026702880859375 ,45
0:0:15.85999965667724609375 ,45
0:0:16.62000083923339843750 ,48
0:0:17.38999938964843750000 ,46
0:0:18.16500091552734375000 ,48
0:0:18.95499992370605468750 ,48
0:0:19.76000022888183593750 ,48
0:0:20.59499931335449218750 ,48
0:0:21.40999984741210937500 ,48
0:0:22.22500038146972656250 ,49
0:0:23.04500007629394531250 ,49
0:0:23.87500000000000000000 ,49
0:0:24.70000076293945312500 ,49
0:0:25.52499961853027343750 ,49
0:0:26.34499931335449218750 ,49
0:0:27.15500068664550781250 ,49
0:0:27.97500038146972656250 ,49
0:0:28.79500007629394531250 ,49
0:0:29.61499977111816406250 ,48
0:0:30.43499946594238281250 ,47
0:0:31.25499916076660156250 ,46
0:0:32.06999969482421875000 ,46
0:0:32.86000061035156250000 ,45
0:0:33.63499832153320312500 ,45
0:0:34.40999984741210937500 ,45
0:0:35.17499923706054687500 ,45
0:0:35.93500137329101562500 ,45
0:0:36.69499969482421875000 ,45
0:0:37.45500183105468750000 ,45
0:0:38.20999908447265625000 ,45
0:0:38.95999908447265625000 ,45
0:0:39.72000122070312500000 ,45
0:0:40.47499847412109375000 ,44
0:0:41.22999954223632812500 ,44
0:0:41.97999954223632812500 ,44
0:0:42.72000122070312500000 ,44
0:0:43.46500015258789062500 ,44
0:0:44.19499969482421875000 ,44
0:0:44.93000030517578125000 ,44
0:0:45.66500091552734375000 ,44
0:0:46.39500045776367187500 ,44
0:0:47.13000106811523437500 ,44
0:0:47.86999893188476562500 ,44
0:0:48.61000061035156250000 ,44
0:0:49.34500122070312500000 ,44
0:0:50.08499908447265625000 ,48
0:0:50.84000015258789062500 ,45
0:0:51.60499954223632812500 ,48
0:0:52.39500045776367187500 ,48
0:0:53.20500183105468750000 ,48
0:0:54.02999877929687500000 ,47
0:0:54.84000015258789062500 ,47
