time,HR per minute
0:0:0.77,50
0:0:1.615,48
0:0:2.43,48
0:0:3.24,47
0:0:4.03,46
0:0:4.8,45
0:0:5.565,45
0:0:6.315,45
0:0:7.08,47
0:0:7.87,48
0:0:8.68,49
0:0:9.51,50
0:0:10.35,49
0:0:11.175,48
0:0:11.985,47
0:0:12.78,46
0:0:13.56,46
0:0:14.335,45
0:0:15.095,45
0:0:15.86,45
0:0:16.62,46
0:0:17.39,46
0:0:18.165,47
0:0:18.955,48
0:0:19.76,50
0:0:20.595,48
0:0:21.41,48
0:0:22.225,49
0:0:23.045,49
0:0:23.875,49
0:0:24.7,49
0:0:25.525,49
0:0:26.345,48
0:0:27.155,49
0:0:27.975,49
0:0:28.795,49
0:0:29.615,49
0:0:30.435,49
0:0:31.255,48
0:0:32.07,47
0:0:32.86,46
0:0:33.635,46
0:0:34.41,45
0:0:35.175,45
0:0:35.935,45
0:0:36.695,45
0:0:37.455,45
0:0:38.21,45
0:0:38.96,45
0:0:39.72,45
0:0:40.475,45
0:0:41.23,45
0:0:41.98,44
0:0:42.72,44
0:0:43.465,43
0:0:44.195,44
0:0:44.93,44
0:0:45.665,43
0:0:46.395,44
0:0:47.13,44
0:0:47.87,44
0:0:48.61,44
0:0:49.345,44
0:0:50.085,45
0:0:50.84,45
0:0:51.605,47
0:0:52.395,48
0:0:53.205,49
0:0:54.03,48
0:0:54.84,47
0:0:55.63,47
0:0:56.42,47
0:0:57.21,48
0:0:58.01,49
0:0:58.83,50
0:0:59.675,49
0:1:0.495,48
0:1:1.3,48
0:1:2.11,48
0:1:2.915,49
0:1:3.745,50
0:1:4.59,51
0:1:5.44,50
0:1:6.285,51
0:1:7.135,49
0:1:7.965,49
0:1:8.785,49
0:1:9.605,48
0:1:10.42,49
0:1:11.25,50
0:1:12.09,51
0:1:12.955,51
0:1:13.81,51
0:1:14.66,51
0:1:15.52,52
0:1:16.4,53
0:1:17.285,51
0:1:18.135,49
0:1:18.955,48
0:1:19.77,48
0:1:20.585,50
0:1:21.42,49
0:1:22.25,49
0:1:23.08,50
0:1:23.915,50
0:1:24.755,51
0:1:25.61,49
0:1:26.435,47
0:1:27.23,47
0:1:28.025,48
0:1:28.825,48
0:1:29.64,48
0:1:30.455,48
0:1:31.26,48
0:1:32.075,49
0:1:32.905,49
0:1:33.73,48
0:1:34.545,49
0:1:35.365,49
0:1:36.19,50
0:1:37.03,49
0:1:37.855,47
0:1:38.65,47
0:1:39.435,47
0:1:40.22,47
0:1:41.005,49
0:1:41.83,50
0:1:42.67,50
0:1:43.515,51
0:1:44.37,51
0:1:45.23,50
0:1:46.075,51
0:1:46.925,50
0:1:47.76,49
0:1:48.58,49
0:1:49.41,51
0:1:50.265,51
0:1:51.12,51
0:1:51.97,50
0:1:52.81,51
0:1:53.665,51
0:1:54.53,50
0:1:55.375,48
0:1:56.18,47
0:1:56.97,47
0:1:57.76,48
0:1:58.56,48
0:1:59.375,50
0:2:0.21,50
0:2:1.055,51
0:2:1.905,52
0:2:2.775,52
0:2:3.645,50
0:2:4.48,49
0:2:5.305,49
0:2:6.125,48
0:2:6.935,47
0:2:7.73,47
0:2:8.515,47
0:2:9.305,47
0:2:10.095,48
0:2:10.9,48
0:2:11.71,48
0:2:12.52,48
0:2:13.335,49
0:2:14.16,49
0:2:14.985,50
0:2:15.82,48
0:2:16.635,48
0:2:17.445,48
0:2:18.25,47
0:2:19.045,48
0:2:19.845,47
0:2:20.63,47
0:2:21.425,49
0:2:22.245,49
0:2:23.075,50
0:2:23.91,49
0:2:24.73,48
0:2:25.54,48
0:2:26.34,48
0:2:27.14,49
0:2:27.96,48
0:2:28.775,46
0:2:29.55,44
0:2:30.295,45
0:2:31.055,45
0:2:31.805,45
0:2:32.555,44
0:2:33.3,42
0:2:34.01,42
0:2:34.715,44
0:2:35.46,48
0:2:36.27,47
0:2:37.065,47
0:2:37.86,48
0:2:38.66,48
0:2:39.475,49
0:2:40.305,49
0:2:41.13,48
0:2:41.94,49
0:2:42.76,48
0:2:43.57,48
0:2:44.38,48
0:2:45.18,47
0:2:45.97,48
0:2:46.77,48
0:2:47.57,48
0:2:48.37,48
0:2:49.175,48
0:2:49.985,48
0:2:50.795,48
0:2:51.595,46
0:2:52.365,46
0:2:53.145,44
0:2:53.88,44
0:2:54.625,43
0:2:55.345,43
0:2:56.075,44
0:2:56.82,47
0:2:57.61,47
0:2:58.405,48
0:2:59.205,49
0:3:0.035,46
0:3:0.815,45
0:3:1.575,43
0:3:2.3,42
0:3:3.005,42
0:3:3.715,42
0:3:4.425,42
0:3:5.125,43
0:3:5.845,42
0:3:6.55,42
0:3:7.265,43
0:3:7.995,44
0:3:8.74,45
0:3:9.49,45
0:3:10.25,45
0:3:11.01,46
0:3:11.785,47
0:3:12.57,47
0:3:13.36,46
0:3:14.135,44
0:3:14.88,42
0:3:15.595,42
0:3:16.3,41
0:3:16.995,42
0:3:17.705,42
0:3:18.415,43
0:3:19.14,45
0:3:19.89,44
0:3:20.63,45
0:3:21.395,46
0:3:22.165,46
0:3:22.935,45
0:3:23.685,44
0:3:24.43,44
0:3:25.175,44
0:3:25.92,44
0:3:26.665,45
0:3:27.415,44
0:3:28.16,44
0:3:28.9,44
0:3:29.635,43
0:3:30.365,43
0:3:31.095,44
0:3:31.835,45
0:3:32.595,45
0:3:33.36,46
0:3:34.135,45
0:3:34.89,43
0:3:35.615,42
0:3:36.33,42
0:3:37.045,42
0:3:37.755,45
0:3:38.505,48
0:3:39.31,48
0:3:40.125,48
0:3:40.94,48
0:3:41.75,46
0:3:42.52,45
0:3:43.275,45
0:3:44.025,44
0:3:44.77,46
0:3:45.545,45
0:3:46.305,45
0:3:47.065,44
0:3:47.805,44
0:3:48.54,44
0:3:49.275,43
0:3:50.0,42
0:3:50.7,42
0:3:51.4,41
0:3:52.085,40
0:3:52.765,40
0:3:53.435,39
0:3:54.1,41
0:3:54.785,41
0:3:55.47,40
0:3:56.145,42
0:3:56.86,40
0:3:57.54,41
0:3:58.225,41
0:3:58.91,39
0:3:59.57,39
0:4:0.22,38
0:4:0.86,37
0:4:1.485,36
0:4:2.1,36
0:4:2.715,36
0:4:3.315,36
0:4:3.915,35
0:4:4.5,34
0:4:5.08,34
0:4:5.65,33
0:4:6.215,33
0:4:6.775,33
0:4:7.335,33
0:4:7.89,33
0:4:8.44,33
0:4:8.995,33
0:4:9.555,35
0:4:10.14,36
0:4:10.755,40
0:4:11.425,43
0:4:12.15,48
0:4:12.965,49
0:4:13.785,53
0:4:14.68,54
0:4:15.595,53
0:4:16.485,50
0:4:17.32,48
0:4:18.12,47
0:4:18.91,46
0:4:19.69,45
0:4:20.455,42
0:4:21.17,43
0:4:21.9,44
0:4:22.64,43
0:4:23.37,42
0:4:24.085,40
0:4:24.76,39
0:4:25.42,40
0:4:26.09,40
0:4:26.77,40
0:4:27.45,41
0:4:28.135,41
0:4:28.825,42
0:4:29.535,45
0:4:30.285,45
0:4:31.04,45
0:4:31.795,44
0:4:32.535,44
0:4:33.27,42
0:4:33.98,43
0:4:34.705,44
