time, HR per minute
0:0:1.60500001907348632812 ,50
0:0:2.42499995231628417969 ,49
0:0:3.23000001907348632812 ,48
0:0:4.01999998092651367188 ,47
0:0:4.79500007629394531250 ,46
0:0:5.55499982833862304688 ,45
0:0:6.30499982833862304688 ,45
0:0:7.07000017166137695312 ,45
0:0:7.86499977111816406250 ,47
0:0:8.67000007629394531250 ,48
0:0:9.50500011444091796875 ,50
0:0:10.34000015258789062500 ,50
0:0:11.16499996185302734375 ,49
0:0:11.97999954223632812500 ,48
0:0:12.77000045776367187500 ,47
0:0:13.55000019073486328125 ,46
0:0:14.32999992370605468750 ,46
0:0:15.09000015258789062500 ,45
0:0:15.85000038146972656250 ,45
0:0:16.61499977111816406250 ,45
0:0:17.37999916076660156250 ,45
0:0:18.15500068664550781250 ,46
0:0:18.95000076293945312500 ,47
0:0:19.75499916076660156250 ,48
0:0:20.59000015258789062500 ,50
0:0:21.40500068664550781250 ,48
0:0:22.21500015258789062500 ,48
0:0:23.03499984741210937500 ,49
0:0:23.86499977111816406250 ,49
0:0:24.69000053405761718750 ,49
0:0:25.52000045776367187500 ,49
0:0:26.33499908447265625000 ,48
0:0:27.14999961853027343750 ,48
0:0:27.96999931335449218750 ,49
0:0:28.79000091552734375000 ,49
0:0:29.60499954223632812500 ,48
0:0:30.43000030517578125000 ,49
0:0:31.25000000000000000000 ,49
0:0:32.06499862670898437500 ,48
0:0:32.85499954223632812500 ,47
0:0:33.63000106811523437500 ,46
0:0:34.40499877929687500000 ,46
0:0:35.16500091552734375000 ,45
0:0:35.92499923706054687500 ,45
0:0:36.68999862670898437500 ,45
0:0:37.45000076293945312500 ,45
0:0:38.20000076293945312500 ,45
0:0:38.95000076293945312500 ,45
0:0:39.70999908447265625000 ,45
0:0:40.47000122070312500000 ,45
0:0:41.22000122070312500000 ,45
0:0:41.97000122070312500000 ,45
0:0:42.70999908447265625000 ,44
0:0:43.45500183105468750000 ,44
0:0:44.18999862670898437500 ,44
0:0:44.92499923706054687500 ,44
0:0:45.65999984741210937500 ,44
0:0:46.38999938964843750000 ,43
0:0:47.12500000000000000000 ,44
0:0:47.86000061035156250000 ,44
0:0:48.59999847412109375000 ,44
0:0:49.33499908447265625000 ,44
0:0:50.08000183105468750000 ,44
0:0:50.83000183105468750000 ,45
0:0:51.59500122070312500000 ,45
0:0:52.38499832153320312500 ,47
0:0:53.19499969482421875000 ,48
0:0:54.02000045776367187500 ,49
0:0:54.83000183105468750000 ,48
0:0:55.62500000000000000000 ,47
0:0:56.41500091552734375000 ,47
0:0:57.20500183105468750000 ,47
0:0:58.00500106811523437500 ,48
0:0:58.81999969482421875000 ,48
0:0:59.66500091552734375000 ,50
0:1:0.49000167846679687500 ,49
0:1:1.29499816894531250000 ,48
0:1:2.09999847412109375000 ,48
0:1:2.90999984741210937500 ,48
0:1:3.73500061035156250000 ,49
0:1:4.58499908447265625000 ,51
0:1:5.43000030517578125000 ,50
0:1:6.27500152587890625000 ,50
0:1:7.12500000000000000000 ,51
0:1:7.95500183105468750000 ,49
0:1:8.77500152587890625000 ,49
0:1:9.59500122070312500000 ,49
0:1:10.41500091552734375000 ,49
0:1:11.23999786376953125000 ,49
0:1:12.08000183105468750000 ,50
0:1:12.94499969482421875000 ,51
0:1:13.80000305175781250000 ,51
0:1:14.65000152587890625000 ,51
0:1:15.51000213623046875000 ,51
0:1:16.38999938964843750000 ,52
0:1:17.27500152587890625000 ,53
0:1:18.12999725341796875000 ,51
0:1:18.94999694824218750000 ,49
0:1:19.76499938964843750000 ,48
0:1:20.58000183105468750000 ,48
0:1:21.41000366210937500000 ,49
0:1:22.23999786376953125000 ,49
0:1:23.06999969482421875000 ,49
0:1:23.90499877929687500000 ,50
0:1:24.74500274658203125000 ,50
0:1:25.59999847412109375000 ,51
0:1:26.42500305175781250000 ,49
0:1:27.22499847412109375000 ,48
0:1:28.01499938964843750000 ,47
0:1:28.81999969482421875000 ,48
0:1:29.62999725341796875000 ,48
0:1:30.44499969482421875000 ,48
0:1:31.25499725341796875000 ,48
0:1:32.06500244140625000000 ,48
0:1:32.89499664306640625000 ,49
0:1:33.72000122070312500000 ,49
0:1:34.53500366210937500000 ,48
0:1:35.36000061035156250000 ,49
0:1:36.18499755859375000000 ,49
0:1:37.01999664306640625000 ,50
0:1:37.84999847412109375000 ,49
0:1:38.64499664306640625000 ,47
0:1:39.42500305175781250000 ,46
0:1:40.20999908447265625000 ,47
0:1:41.00000000000000000000 ,47
0:1:41.81999969482421875000 ,49
0:1:42.66000366210937500000 ,50
0:1:43.50499725341796875000 ,50
0:1:44.36000061035156250000 ,51
0:1:45.22000122070312500000 ,51
0:1:46.06500244140625000000 ,50
0:1:46.91500091552734375000 ,51
0:1:47.75499725341796875000 ,50
0:1:48.57499694824218750000 ,49
0:1:49.40499877929687500000 ,49
0:1:50.25499725341796875000 ,51
0:1:51.11000061035156250000 ,51
0:1:51.95999908447265625000 ,51
0:1:52.80000305175781250000 ,50
0:1:53.65499877929687500000 ,51
0:1:54.52500152587890625000 ,52
0:1:55.36499786376953125000 ,50
0:1:56.17500305175781250000 ,48
0:1:56.96499633789062500000 ,47
0:1:57.75000000000000000000 ,47
0:1:58.55000305175781250000 ,48
0:1:59.36499786376953125000 ,48
0:2:0.19999694824218750000 ,50
0:2:1.04499816894531250000 ,50
0:2:1.90000152587890625000 ,51
0:2:2.76999664306640625000 ,52
0:2:3.63500213623046875000 ,51
0:2:4.47000122070312500000 ,50
0:2:5.29499816894531250000 ,49
0:2:6.11499786376953125000 ,49
0:2:6.92500305175781250000 ,48
0:2:7.72000122070312500000 ,47
0:2:8.50999450683593750000 ,47
0:2:9.29499816894531250000 ,47
0:2:10.08500671386718750000 ,47
0:2:10.88999938964843750000 ,48
0:2:11.69999694824218750000 ,48
0:2:12.50999450683593750000 ,48
0:2:13.32499694824218750000 ,48
0:2:14.14999389648437500000 ,49
0:2:14.97500610351562500000 ,49
0:2:15.80999755859375000000 ,50
0:2:16.62500000000000000000 ,48
0:2:17.44000244140625000000 ,48
0:2:18.24000549316406250000 ,48
0:2:19.03500366210937500000 ,47
0:2:19.83999633789062500000 ,48
0:2:20.61999511718750000000 ,46
0:2:21.41999816894531250000 ,48
0:2:22.23500061035156250000 ,48
0:2:23.06500244140625000000 ,49
0:2:23.89999389648437500000 ,50
0:2:24.72500610351562500000 ,49
0:2:25.52999877929687500000 ,48
0:2:26.33000183105468750000 ,48
0:2:27.13000488281250000000 ,48
0:2:27.94999694824218750000 ,49
0:2:28.76499938964843750000 ,48
0:2:29.54499816894531250000 ,46
0:2:30.28999328613281250000 ,44
0:2:31.04499816894531250000 ,45
0:2:31.79499816894531250000 ,45
0:2:32.54499816894531250000 ,45
0:2:33.28999328613281250000 ,44
0:2:34.00000000000000000000 ,42
